,query_article_link,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10
0,/abs/2207.00001,,,,,,,,,,
1,/abs/2207.00003,/abs/2212.02739,/abs/2002.08930,/abs/2208.13986,/abs/2305.18703,/abs/2208.07754,/abs/2206.01323,/abs/2212.13038,/abs/2308.11635,/abs/1912.12033,/abs/2103.08889
2,/abs/2207.00005,/abs/2101.06069,/abs/2204.03410,/abs/2112.15278,/abs/2112.06511,/abs/2304.09062,/abs/2305.16332,/abs/2301.12230,/abs/2210.01987,/abs/2104.09220,/abs/2207.08605
3,/abs/2207.00006,,,,,,,,,,
4,/abs/2207.00007,/abs/2211.06579,/abs/2105.06677,/abs/2307.09673,/abs/2310.19775,/abs/2106.05568,/abs/2304.12667,/abs/2311.14687,/abs/2111.06420,/abs/2302.06065,/abs/2303.17558
5,/abs/2207.00008,/abs/2012.11195,/abs/2106.15049,/abs/2105.09461,/abs/2306.12660,/abs/2304.09861,/abs/2311.09248,/abs/2111.00418,/abs/2012.03426,/abs/2208.02597,/abs/1011.3852
6,/abs/2207.00010,/abs/2308.02084,/abs/2105.12374,/abs/2203.05692,/abs/2105.12374v1)%3C%22,/abs/2301.12467,/abs/2310.06219,/abs/2310.17552,/abs/2306.16817,/abs/2308.04749,/abs/2104.09396
7,/abs/2207.00012,/abs/2306.10280,/abs/2305.15792,/abs/2303.09778,/abs/2310.06396,/abs/2306.08604,/abs/2212.09970,/abs/2210.13815,/abs/2108.07258.abs%C3%82%C2%A0,/abs/2107.12045,
8,/abs/2207.00026,/abs/2301.04926,/abs/2309.05573,/abs/2303.05367,/abs/2301.00970,/abs/2308.02883,/abs/2303.11203,/abs/2305.19812,/abs/2307.15061,,
9,/abs/2207.00032,/abs/2311.03687,/abs/2311.01282,/abs/2303.06865,/abs/2211.05102,/abs/2311.15566,/abs/2309.08589,/abs/2305.16300,/abs/2308.12066,/abs/2311.04930,/abs/2309.02784
10,/abs/1901.00001,/abs/2303.14516,/abs/2303.02835,/abs/2304.13428,/abs/2303.16817,/abs/2305.17349,/abs/2307.05080,/abs/2303.05194,/abs/2101.08418,/abs/2208.01254,/abs/2308.00949
11,/abs/1901.00003,/abs/2203.09375,/abs/1910.01210,/abs/1911.11530,/abs/2108.03072,/abs/2010.01191,/abs/2008.09622,/abs/2212.02280,/abs/2104.03851,/abs/1906.03764,/abs/2207.06205
12,/abs/1901.00004,/abs/1605.00635,/abs/1606.08828,/abs/2304.14397,/abs/2006.03048,/abs/2105.08713,/abs/1706.01442,/abs/2106.00740,/abs/1710.01190,/abs/2206.05759,/abs/1709.01056
13,/abs/1901.00027,/abs/2311.17901,/abs/2211.11695,/abs/2203.11132,/abs/2307.14151,/abs/2208.03764,/abs/2303.10014,/abs/2205.03956,/abs/2309.07742,/abs/2308.08484,/abs/2307.13039
14,/abs/1901.00031,/abs/2305.18578,/abs/2308.07012,/abs/0810.2434,/abs/2209.08884,/abs/2211.14443,/abs/2208.08084,/abs/1712.01090,/abs/1912.05087,/abs/2303.11100,/abs/2302.05425
15,/abs/1901.00035,/abs/2101.09306,/abs/2002.09766,/abs/2205.14056,/abs/2211.12461,/abs/2302.05950,/abs/2106.09117,/abs/1609.01000,/abs/2306.06995,/abs/2106.09117,/abs/1609.07152
16,/abs/1901.00038,/abs/1605.04966,/abs/1809.10270,/abs/2310.02590,/abs/2304.04637,/abs/1510.02670,/abs/1704.02790,/abs/2210.05444,/abs/2112.02637,/abs/1402.3557,/abs/1307.4581
17,/abs/1901.00039,/abs/2101.01479,/abs/2212.14193,/abs/2311.04509,/abs/2204.07347,/abs/2303.10318,/abs/2201.04819,/abs/2206.10075,/abs/2212.11542,/abs/2107.13271,/abs/2104.02245
18,/abs/1901.00040,/abs/2211.01631,/abs/1905.12056,/abs/2101.06411,/abs/2202.04647,/abs/2006.15573,/abs/1903.09331,/abs/2203.07858,/abs/1809.05583,/abs/1801.01456,/abs/2002.03401
19,/abs/1901.00041,/abs/2304.13541,/abs/2205.11913,/abs/2308.13803,/abs/2311.13587,/abs/1901.10008,/abs/2203.09040,/abs/2211.01713,/abs/2212.02687,/abs/2109.01611,/abs/2306.06000
20,/abs/2005.00019,/abs/2010.04976,/abs/2301.11462,/abs/2304.06248,/abs/2010.04637,/abs/2206.04806,/abs/2011.07960,/abs/2305.02810,/abs/2311.17633,/abs/2101.06397,/abs/2210.03050
21,/abs/2005.00033,/abs/2310.14338,/abs/2311.03179,/abs/2301.05494,/abs/2311.05656,/abs/2109.11372,/abs/2305.14982,/abs/2105.07730,/abs/2310.07078,/abs/2103.00153,/abs/2311.06121
22,/abs/2005.00036,/abs/2306.08872,/abs/2308.06095,/abs/2305.11482,/abs/2305.14325,/abs/2305.16470,/abs/2305.14658,/abs/2310.06245,/abs/2310.15421,/abs/2306.10543,/abs/2310.08394
