,query_article_link,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
0,/abs/2207.00003,/abs/2207.00003,/abs/2002.08930,/abs/2004.01735,/abs/1705.08620,/abs/1811.04491,/abs/1509.00137,/abs/2310.04723,/abs/1409.5241,/abs/2009.00520,/abs/2201.05282
1,/abs/2207.00005,/abs/2207.00005,/abs/1807.09536,/abs/2204.05737,/abs/2207.11213,/abs/2103.12532,/abs/2001.11152,/abs/2008.13710,/abs/2010.15277,/abs/2003.13191,/abs/1705.00744
2,/abs/2207.00007,/abs/2207.00007,/abs/2003.07523,/abs/2106.07758,/abs/2309.13965,/abs/2210.03735,/abs/2303.17707,/abs/2206.03031,/abs/2006.08672,/abs/2306.13885,/abs/2206.13888
3,/abs/2207.00008,/abs/2207.00008,/abs/2307.05275,/abs/1507.01206,/abs/2306.06452,/abs/2302.00224,/abs/1605.09351,/abs/2012.03426,/abs/1911.11976,/abs/2309.07154,/abs/2105.09461
4,/abs/2207.00010,/abs/2207.00010,/abs/2108.06758,/abs/1908.00355,/abs/2007.04813,/abs/2302.05836,/abs/2006.05188,/abs/1908.01091,/abs/2302.00487,/abs/2104.07446,/abs/2308.06925
5,/abs/2207.00032,/abs/2207.00032,/abs/2104.12470,/abs/2303.14882,/abs/2302.14017,/abs/2110.14883,/abs/2307.07982,/abs/2208.06118,/abs/2211.13878,/abs/2302.09108,/abs/2110.05722
6,/abs/1901.00001,/abs/1901.00001,/abs/1806.01896,/abs/1908.05005,/abs/2009.00330,/abs/1903.03462,/abs/1902.02678,/abs/1803.05675,/abs/1604.01545,/abs/1904.04516,/abs/1611.09326
7,/abs/1901.00003,/abs/1901.00003,/abs/1811.01292,/abs/1605.08104,/abs/2309.14010,/abs/2011.06464,/abs/1809.03330,/abs/2011.03367,/abs/1709.00505,/abs/1906.03764,/abs/2109.00179
8,/abs/1901.00004,/abs/1901.00004,/abs/2105.07704,/abs/1812.01566,/abs/1904.05906,/abs/1709.03022,/abs/1711.05244,/abs/1609.08138,/abs/1606.08828,/abs/1602.09134,/abs/1910.11973
9,/abs/1901.00027,/abs/1901.00027,/abs/1604.04994,/abs/1508.00307,/abs/2201.00509,/abs/1412.8556,/abs/1607.08368,/abs/2206.01153,/abs/2007.08988,/abs/2102.09875,/abs/1810.11515
10,/abs/1901.00031,/abs/1901.00031,/abs/2304.10666,/abs/1201.5227,/abs/cs/0603041,/abs/2010.06264,/abs/1505.00529,/abs/1209.1558,/abs/2105.08501,/abs/2305.00435,/abs/1905.13038
11,/abs/1901.00035,/abs/1901.00035,/abs/2006.05900,/abs/2006.14076,/abs/2012.13329,/abs/1702.07966,/abs/2311.04015,/abs/2306.00119,/abs/1611.03131,/abs/2202.01331,/abs/2106.09117
12,/abs/1901.00038,/abs/1901.00038,/abs/1305.0510,/abs/1401.2209,/abs/1704.08535,/abs/1511.00112,/abs/1607.01172,/abs/1501.04328,/abs/1601.06748,/abs/1307.0794,/abs/1809.10537
13,/abs/1901.00039,/abs/1906.06392,/abs/1908.07801,/abs/2107.04279,/abs/2101.02196,/abs/2207.00887,/abs/1808.04702,/abs/2305.16835,/abs/2204.06107,/abs/2104.12276,/abs/1506.06204
14,/abs/1901.00040,/abs/1901.00040,/abs/1804.01565,/abs/2211.01631,/abs/1703.10902,/abs/2104.10051,/abs/2011.05735,/abs/2006.06325,/abs/1210.0824,/abs/2201.10305,/abs/2202.04647
15,/abs/1901.00041,/abs/1901.00041,/abs/2304.13541,/abs/2308.15949,/abs/2205.11913,/abs/2210.06223,/abs/2304.11745,/abs/1901.10008,/abs/2112.10065,/abs/2110.00459,/abs/2308.07470
16,/abs/2005.00019,/abs/2005.00019,/abs/2101.02258,/abs/1808.09644,/abs/1904.03746,/abs/1903.00943,/abs/1506.04834,/abs/2002.01824,/abs/2010.01737,/abs/1606.01280,/abs/2009.09730
17,/abs/2005.00033,/abs/2005.00033,/abs/2009.02931,/abs/2010.08768,/abs/2304.06858,/abs/2201.06496,/abs/2110.06495,/abs/2011.05773,/abs/2107.12303,/abs/2304.04811,/abs/2007.07996
18,/abs/2005.00036,/abs/2005.00036,/abs/1911.05889,/abs/1903.05759,/abs/2111.13833,/abs/2004.07672,/abs/1902.08654,/abs/2106.06169,/abs/2111.15093,/abs/2305.12782,/abs/2005.06114
19,/abs/2005.00038,/abs/2005.00038,/abs/1911.02896,/abs/2004.04906,/abs/2109.11085,/abs/2112.07708,/abs/2010.12523,/abs/2012.12624,/abs/2110.07731,/abs/2002.08909,/abs/2007.00814
20,/abs/2005.00042,/abs/2005.00042,/abs/1707.04596,/abs/cs/0007018,/abs/2004.14312,/abs/1706.05985,/abs/2302.03341,/abs/1401.5741,/abs/1308.2359,/abs/1507.08396,/abs/1412.1820
21,/abs/2005.00043,/abs/2005.00043,/abs/1710.11442,/abs/2103.04226,/abs/2106.06272,/abs/2108.04121,/abs/2004.08471,/abs/2107.09986,/abs/1902.04064,/abs/1810.04866,/abs/2006.05304
22,/abs/2005.00044,/abs/2005.00044,/abs/1504.00229,/abs/1506.07566,/abs/1807.09313,/abs/1001.3720,/abs/2104.12425,/abs/1207.0140,/abs/1812.04122,/abs/2004.10360,/abs/2305.05074
23,/abs/2005.00048,/abs/2005.00048,/abs/1707.01961,/abs/1607.05809,/abs/1506.07285,/abs/1410.3916,/abs/1506.01057,/abs/2002.07775,/abs/1708.06555,/abs/2305.11462,/abs/1709.05074
24,/abs/2005.00050,/abs/2005.00050,/abs/2011.07247,/abs/2010.00857,/abs/2103.07259,/abs/2005.06602,/abs/2104.03776,/abs/2008.03164,/abs/2010.03481,/abs/2309.02403,/abs/2001.06629
