,query_article_link,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
0,/abs/2207.00003,/abs/2207.00003,/abs/2002.08930,/abs/1811.04491,/abs/2310.04723,/abs/1409.5241,/abs/2004.01735,/abs/1501.03952,/abs/1705.05498,/abs/1907.01343,/abs/2009.00520
1,/abs/2207.00005,/abs/2208.00777,/abs/1902.02948,/abs/2205.14922,/abs/2310.12244,/abs/2303.13898,/abs/2112.04731,/abs/2112.12533,/abs/2308.11677,/abs/2010.08657,/abs/2003.13191
2,/abs/2207.00007,/abs/2106.13976,/abs/2211.06499,/abs/2307.09673,/abs/2212.14447,/abs/2105.06677,/abs/2205.01809,/abs/2304.14094,/abs/1902.01876,/abs/2012.09636,/abs/2102.07817
3,/abs/2207.00008,/abs/2207.00008,/abs/2307.05275,/abs/2105.09461,/abs/2306.06452,/abs/1911.11976,/abs/1507.01206,/abs/2012.11195,/abs/2201.02803,/abs/2302.00224,/abs/1605.09351
4,/abs/2207.00010,/abs/2207.00010,/abs/2307.11046,/abs/2203.05692,/abs/2105.07674,/abs/2011.07782,/abs/1910.02718,/abs/2007.03032,/abs/1812.03596,/abs/2012.13490,/abs/2211.02633
5,/abs/2207.00032,/abs/2207.00032,/abs/2302.14017,/abs/2307.07982,/abs/2104.12470,/abs/1911.03179,/abs/2303.02331,/abs/2010.11918,/abs/2010.02416,/abs/2301.13310,/abs/2209.12127
6,/abs/1901.00001,/abs/1901.00001,/abs/2305.15608,/abs/2104.13395,/abs/2011.08008,/abs/2207.11234,/abs/2205.13326,/abs/2010.15250,/abs/1810.10193,/abs/1806.01896,/abs/1810.02835
7,/abs/1901.00003,/abs/2004.04546,/abs/1805.11025,/abs/2111.10144,/abs/1712.03463,/abs/2205.00363,/abs/2006.09662,/abs/2108.03072,/abs/2104.05832,/abs/2210.16952,/abs/2212.10275
8,/abs/1901.00004,/abs/1901.06907,/abs/2001.03843,/abs/1604.00223,/abs/2006.03048,/abs/1606.08828,/abs/1801.05768,/abs/2105.05807,/abs/1901.06730,/abs/1709.00112,/abs/2105.05788
9,/abs/1901.00027,/abs/1901.00027,/abs/1508.00307,/abs/2007.08988,/abs/1706.04318,/abs/2007.15523,/abs/1305.0311,/abs/1704.05939,/abs/2005.13605,/abs/1901.03547,/abs/1810.11515
10,/abs/1901.00031,/abs/1901.00031,/abs/2106.07929,/abs/1003.4021,/abs/2305.00435,/abs/cs/0004012,/abs/1802.02647,/abs/2010.06264,/abs/1412.1957,/abs/1209.1558,/abs/2012.04135
