,query_article_link,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
0,/abs/2207.00003,/abs/2207.00003,/abs/2002.08930,/abs/2204.08200,/abs/2001.09994,/abs/2310.13852,/abs/2004.01735,/abs/2206.11492,/abs/2106.12497,/abs/2303.03770,/abs/1907.12299
1,/abs/2207.00005,/abs/2207.00005,/abs/2207.11213,/abs/1807.09536,/abs/1705.00744,/abs/2206.13803,/abs/1807.08942,/abs/2001.11152,/abs/2307.12580,/abs/2304.05734,/abs/1905.12883
2,/abs/2207.00008,/abs/2207.00008,/abs/2201.02803,/abs/2304.06335,/abs/1507.01206,/abs/1605.09351,/abs/2307.05275,/abs/1911.11976,/abs/2012.03426,/abs/1611.07688,/abs/2205.05918
3,/abs/1901.00001,/abs/1901.00001,/abs/1806.01896,/abs/2110.13813,/abs/1711.11556,/abs/1704.08509,/abs/1808.04754,/abs/1803.05675,/abs/2212.07911,/abs/2109.08937,/abs/2208.10716
4,/abs/1901.00003,/abs/1901.00003,/abs/1811.01292,/abs/2105.02195,/abs/2006.12373,/abs/2010.09582,/abs/2112.02990,/abs/1807.05933,/abs/1811.07461,/abs/1804.08366,/abs/2104.03851
5,/abs/1901.00004,/abs/1901.00004,/abs/2105.07704,/abs/1812.01566,/abs/1904.05906,/abs/2105.05807,/abs/2206.05759,/abs/1606.08828,/abs/1605.00635,/abs/2009.08582,/abs/1609.08138
6,/abs/1901.00035,/abs/1901.00035,/abs/1702.07966,/abs/1611.02345,/abs/2006.05900,/abs/1704.08045,/abs/1907.06594,/abs/2311.04015,/abs/2002.10553,/abs/1811.08888,/abs/1604.01952
7,/abs/1901.00039,/abs/1901.00039,/abs/1807.09959,/abs/2306.05129,/abs/1908.03684,/abs/1905.10085,/abs/1801.06642,/abs/1712.06679,/abs/2104.13946,/abs/2003.00164,/abs/2009.14411
8,/abs/2005.00033,/abs/2005.00033,/abs/2009.02931,/abs/2106.11702,/abs/2108.10735,/abs/2304.04811,/abs/2204.02000,/abs/2110.06495,/abs/2006.03354,/abs/2107.12303,/abs/2209.03162
9,/abs/2005.00036,/abs/2005.00036,/abs/1903.05759,/abs/1911.05889,/abs/2111.15093,/abs/1905.12188,/abs/2004.07672,/abs/2208.10816,/abs/1809.01331,/abs/2305.12782,/abs/2310.10735
10,/abs/2005.00038,/abs/2005.00038,/abs/2112.07708,/abs/2101.00408,/abs/2007.00814,/abs/2112.07381,/abs/2110.15439,/abs/2203.08928,/abs/1709.00023,/abs/2004.04906,/abs/2012.12624
11,/abs/2005.00042,/abs/2005.00042,/abs/1309.0326,/abs/2210.06023,/abs/1707.04596,/abs/2302.03341,/abs/1507.08396,/abs/0811.1319,/abs/2304.03022,/abs/1706.05985,/abs/1303.2826
12,/abs/2005.00043,/abs/2005.00043,/abs/1710.11442,/abs/2103.04226,/abs/2105.12911,/abs/1711.00838,/abs/2006.03930,/abs/1701.04525,/abs/2006.00165,/abs/1905.06124,/abs/2004.08471
13,/abs/2005.00044,/abs/2005.00044,/abs/2104.05306,/abs/2104.12425,/abs/1504.00229,/abs/1506.07566,/abs/1504.01666,/abs/1812.04122,/abs/2107.13987,/abs/1001.3720,/abs/cs/0701168
