,query_article_link,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
0,/abs/2207.00003,/abs/2207.00003,/abs/2002.08930,/abs/2004.01735,/abs/2008.10030,/abs/1611.08350,/abs/1811.04491,/abs/2009.00520,/abs/2204.11644,/abs/2204.08200,/abs/2310.13852
1,/abs/2207.00005,/abs/2207.00005,/abs/1807.09536,/abs/2001.11152,/abs/2207.11213,/abs/2204.05737,/abs/1802.00853,/abs/2211.04862,/abs/2308.09297,/abs/2010.08657,/abs/2010.15277
2,/abs/2207.00008,/abs/2207.00008,/abs/2307.05275,/abs/1911.11976,/abs/1605.09351,/abs/2201.02803,/abs/1507.01206,/abs/2209.04785,/abs/2302.00224,/abs/1611.07688,/abs/2012.11195
3,/abs/1901.00001,/abs/1901.00001,/abs/1806.01896,/abs/1611.09326,/abs/1611.08323,/abs/2208.03437,/abs/2009.00330,/abs/1812.07049,/abs/2110.13813,/abs/1904.05022,/abs/2003.08736
4,/abs/1901.00003,/abs/1901.00003,/abs/1811.01292,/abs/2010.04030,/abs/2104.03851,/abs/2310.01401,/abs/2111.07117,/abs/1703.03098,/abs/1906.03764,/abs/1807.05933,/abs/2008.01295
5,/abs/1901.00004,/abs/1901.00004,/abs/1711.05244,/abs/1605.00635,/abs/1606.08828,/abs/2105.07704,/abs/1904.05906,/abs/1812.01566,/abs/1602.09134,/abs/1805.04104,/abs/1609.08138
6,/abs/1901.00035,/abs/1901.00035,/abs/2006.05900,/abs/2202.01331,/abs/2006.14798,/abs/2110.09548,/abs/1702.07966,/abs/2105.01420,/abs/2012.13329,/abs/2309.15096,/abs/2002.10553
7,/abs/1901.00039,/abs/1901.00039,/abs/2007.03207,/abs/2306.05129,/abs/1908.06473,/abs/2003.12783,/abs/2104.13946,/abs/2010.12141,/abs/2104.12505,/abs/1807.09959,/abs/2003.13759
8,/abs/2005.00033,/abs/2005.00033,/abs/2110.06495,/abs/2201.06496,/abs/2011.13253,/abs/2209.03162,/abs/2009.02931,/abs/2310.19834,/abs/2105.03313,/abs/2010.08743,/abs/2010.08768
9,/abs/2005.00036,/abs/2005.00036,/abs/1911.05889,/abs/2111.13833,/abs/2004.07672,/abs/1807.07255,/abs/1902.08654,/abs/2111.15093,/abs/2005.06114,/abs/2110.05456,/abs/1909.07547
