,query_article_link,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
0,/abs/2207.00003,/abs/2207.00003,/abs/2002.08930,/abs/2304.10762,/abs/2307.05601,/abs/2210.00706,/abs/2111.13353,/abs/2009.00520,/abs/2204.08200,/abs/2111.15672,/abs/2109.08901
1,/abs/2207.00005,/abs/2306.12646,/abs/1801.10112,/abs/2206.10596,/abs/2112.12533,/abs/2111.11208,/abs/1806.06610,/abs/2304.01663,/abs/2308.11677,/abs/2303.13898,/abs/1902.00829
2,/abs/2207.00008,/abs/2207.00008,/abs/2307.05275,/abs/1911.11976,/abs/1507.01206,/abs/2012.11195,/abs/1605.09351,/abs/2302.00224,/abs/2201.02803,/abs/2105.09461,/abs/1609.05339
3,/abs/1901.00001,/abs/1901.00001,/abs/1810.10193,/abs/1806.01896,/abs/1707.02432,/abs/2103.12417,/abs/2104.13395,/abs/2305.15608,/abs/1810.02575,/abs/2208.03437,/abs/2211.11131
4,/abs/1901.00003,/abs/1711.06821,/abs/2005.00696,/abs/1805.11025,/abs/2205.02671,/abs/2104.05832,/abs/2007.09551,/abs/2310.12557,/abs/2204.08292,/abs/2308.09778,/abs/2104.00387
5,/abs/1901.00004,/abs/1901.06907,/abs/1606.08828,/abs/1605.00635,/abs/2105.05807,/abs/1711.05244,/abs/2009.08582,/abs/1801.05768,/abs/2006.03048,/abs/1602.09134,/abs/2001.03843
6,/abs/1901.00035,/abs/1901.00035,/abs/1609.01000,/abs/2110.09548,/abs/1711.03440,/abs/2006.14798,/abs/2106.09117,/abs/2002.09773,/abs/2206.04490,/abs/2304.06959,/abs/2103.01499
7,/abs/1901.00039,/abs/2108.08784,/abs/2201.08992,/abs/2003.13759,/abs/2209.07271,/abs/2010.12141,/abs/2204.04653,/abs/2211.06835,/abs/2012.15685,/abs/2103.16291,/abs/2012.10189
8,/abs/2005.00033,/abs/2005.05710,/abs/2007.09703,/abs/2204.03506,/abs/2003.12309,/abs/2007.09682,/abs/2005.10414,/abs/2107.09183,/abs/2006.08830,/abs/2104.10864,/abs/2008.00791
9,/abs/2005.00036,/abs/2308.07213,/abs/2301.03056,/abs/2107.00807,/abs/2305.04329,/abs/2109.09689,/abs/2011.03870,/abs/2110.10144,/abs/2305.03507,/abs/1806.07687,/abs/2310.07609
10,/abs/2005.00038,/abs/2112.07708,/abs/2005.00038,/abs/2101.00408,/abs/2106.08433,/abs/2012.12624,/abs/2002.12591,/abs/2012.15156,/abs/2208.03197,/abs/2109.11085,/abs/2004.04906
11,/abs/2005.00042,/abs/2005.00042,/abs/1706.05985,/abs/2109.02320,/abs/cmp-lg/9610004,/abs/2006.11548,/abs/cmp-lg/9504002,/abs/2110.15062,/abs/cmp-lg/9602001,/abs/cs/0007018,/abs/cmp-lg/9505035
12,/abs/2005.00043,/abs/2004.03178,/abs/1701.04525,/abs/2103.04226,/abs/2101.10198,/abs/1605.09641,/abs/2005.00043,/abs/1905.06124,/abs/1611.01377,/abs/2005.13738,/abs/1901.01867
13,/abs/2005.00044,/abs/2005.00044,/abs/2109.13142,/abs/1808.08896,/abs/2202.04522,/abs/2104.12425,/abs/2006.04777,/abs/1812.07527,/abs/2004.10360,/abs/1809.03261,/abs/2307.16693
14,/abs/2005.00048,/abs/2005.00048,/abs/2007.15780,/abs/2105.10311,/abs/1904.03396,/abs/2112.11739,/abs/2210.03496,/abs/2201.05273,/abs/1808.10122,/abs/2004.02211,/abs/1706.00139
15,/abs/2005.00050,/abs/2005.00050,/abs/2005.06602,/abs/2005.09946,/abs/2309.02403,/abs/2101.09368,/abs/2011.07247,/abs/2005.07979,/abs/2010.00857,/abs/2001.07786,/abs/2012.01603
16,/abs/2005.00051,/abs/2008.08174,/abs/2009.08816,/abs/2212.09303,/abs/2208.02330,/abs/2308.05952,/abs/2310.01729,/abs/2011.05896,/abs/2205.10077,/abs/2207.00832,/abs/2308.07793
17,/abs/2212.00004,/abs/2304.05462,/abs/2106.07448,/abs/1904.09115,/abs/2212.00004,/abs/1611.09480,/abs/1709.08957,/abs/2307.02211,/abs/1911.08739,/abs/2311.03395,/abs/1704.04982
18,/abs/2212.00006,/abs/2212.00006,/abs/2210.16405,/abs/2302.09185,/abs/2004.05675,/abs/2102.08921,/abs/2302.00628,/abs/2307.16422,/abs/2206.06672,/abs/2011.00754,/abs/1311.6184
19,/abs/2212.00009,/abs/2109.00635,/abs/2308.09003,/abs/1812.10720,/abs/2301.03450,/abs/2202.07169,/abs/2308.07085,/abs/2308.07610,/abs/2010.05569,/abs/1811.03509,/abs/2306.01509
20,/abs/2212.00013,/abs/2112.15187,/abs/2111.07171,/abs/2005.04539,/abs/2111.02283,/abs/2005.04537,/abs/2210.02381,/abs/2210.13906,/abs/2201.13331,/abs/1703.02899,/abs/2106.10516
21,/abs/2004.00006,/abs/2301.06143,/abs/1906.03799,/abs/2301.06184,/abs/2004.00006,/abs/1809.08134,/abs/2106.15280,/abs/2007.05981,/abs/1309.4413,/abs/2211.03928,/abs/2310.10821
22,/abs/2004.00010,/abs/2104.01987,/abs/2210.09269,/abs/2110.06412,/abs/2302.03511,/abs/2004.00010,/abs/2010.09929,/abs/1911.12060,/abs/2109.10528,/abs/2205.08532,/abs/2210.13028
23,/abs/2004.00033,/abs/cs/0205017,/abs/1609.03204,/abs/2210.13236,/abs/cmp-lg/9605015,/abs/2301.01967,/abs/2210.12273,/abs/2310.11187,/abs/2012.15425,/abs/2310.13440,/abs/cmp-lg/9505035
24,/abs/2004.00034,/abs/2004.00034,/abs/2012.08849,/abs/2004.01532,/abs/2306.09690,/abs/2001.05780,/abs/1910.01586,/abs/2302.05172,/abs/2005.05023,/abs/2111.04461,/abs/2210.06697
25,/abs/2004.00048,/abs/2306.09961,/abs/2004.00048,/abs/1905.03726,/abs/1906.08854,/abs/2306.11761,/abs/1905.03389,/abs/2306.10225,/abs/2007.04725,/abs/2305.07571,/abs/2009.08403
26,/abs/2004.00049,/abs/2107.06050,/abs/2101.05278,/abs/2309.13956,/abs/2108.08998,/abs/2004.00049,/abs/2112.00719,/abs/2107.13812,/abs/2207.08134,/abs/2202.02183,/abs/2211.12123
27,/abs/2004.00050,/abs/2004.00050,/abs/2305.13047,/abs/2306.08999,/abs/2101.11978,/abs/2003.08385,/abs/2109.06050,/abs/2302.02813,/abs/1706.06894,/abs/2204.13979,/abs/2007.05976
28,/abs/2004.00053,/abs/2004.00053,/abs/2001.10648,/abs/2106.11384,/abs/1905.12774,/abs/2102.11673,/abs/2104.08273,/abs/2305.18462,/abs/2104.08305,/abs/2311.06062,/abs/2009.05241
29,/abs/2206.00007,/abs/2206.00007,/abs/2108.06228,/abs/1808.01552,/abs/2202.02074,/abs/2302.11774,/abs/1802.00386,/abs/2205.13947,/abs/2106.15802,/abs/2306.07292,/abs/1901.08518
30,/abs/2206.00026,/abs/2309.07908,/abs/cs/0602034,/abs/2311.02636,/abs/1904.05334,/abs/2112.03074,/abs/2006.16860,/abs/1705.01049,/abs/1809.00223,/abs/cs/0307024,/abs/1402.3951
31,/abs/2206.00047,/abs/2206.00047,/abs/2307.06825,/abs/2106.09890,/abs/2303.13297,/abs/2204.11644,/abs/2301.07845,/abs/2103.03097,/abs/2004.01377,/abs/2101.08521,/abs/2210.00706
32,/abs/2206.00048,/abs/2112.08835,/abs/2203.08516,/abs/2302.14533,/abs/2012.04525,/abs/2212.01455,/abs/2006.08089,/abs/1905.12660,/abs/2111.00909,/abs/1711.05415,/abs/2011.00788
