,query_article_link,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
0,/abs/2207.00003,/abs/2207.00003,/abs/2002.08930,/abs/1811.04491,/abs/2310.04723,/abs/1409.5241,/abs/2004.01735,/abs/1501.03952,/abs/1705.05498,/abs/1907.01343,/abs/2009.00520
1,/abs/2207.00005,/abs/2208.00777,/abs/1902.02948,/abs/2205.14922,/abs/2310.12244,/abs/2303.13898,/abs/2112.04731,/abs/2112.12533,/abs/2308.11677,/abs/2010.08657,/abs/2003.13191
2,/abs/2207.00008,/abs/2207.00008,/abs/2307.05275,/abs/2105.09461,/abs/2306.06452,/abs/1911.11976,/abs/1507.01206,/abs/2012.11195,/abs/2201.02803,/abs/2302.00224,/abs/1605.09351
3,/abs/1901.00001,/abs/1901.00001,/abs/2305.15608,/abs/2104.13395,/abs/2011.08008,/abs/2207.11234,/abs/2205.13326,/abs/2010.15250,/abs/1810.10193,/abs/1806.01896,/abs/1810.02835
4,/abs/1901.00003,/abs/2004.04546,/abs/1805.11025,/abs/2111.10144,/abs/1712.03463,/abs/2205.00363,/abs/2006.09662,/abs/2108.03072,/abs/2104.05832,/abs/2210.16952,/abs/2212.10275
5,/abs/1901.00004,/abs/1901.06907,/abs/2001.03843,/abs/1604.00223,/abs/2006.03048,/abs/1606.08828,/abs/1801.05768,/abs/2105.05807,/abs/1901.06730,/abs/1709.00112,/abs/2105.05788
6,/abs/1901.00035,/abs/1901.00035,/abs/2311.04015,/abs/2106.09117,/abs/2006.14076,/abs/1902.08722,/abs/2002.09766,/abs/2010.06219,/abs/1704.04932,/abs/2211.15253,/abs/2101.12708
7,/abs/1901.00039,/abs/1907.02198,/abs/2010.12141,/abs/1804.06958,/abs/1706.03686,/abs/1901.00039,/abs/1702.02359,/abs/2007.06630,/abs/1908.03314,/abs/1907.02724,/abs/2002.06515
8,/abs/2005.00033,/abs/2007.07996,/abs/2207.01483,/abs/2107.09183,/abs/2006.05557,/abs/2109.06533,/abs/2004.02566,/abs/2006.08830,/abs/2005.08820,/abs/2209.09964,/abs/2003.00923
9,/abs/2005.00036,/abs/2005.00036,/abs/2010.03369,/abs/2310.06245,/abs/2004.07672,/abs/2009.09680,/abs/2106.06169,/abs/2110.05456,/abs/1911.05889,/abs/2109.11292,/abs/2111.15093
10,/abs/2005.00038,/abs/2005.00038,/abs/2109.11085,/abs/2004.04906,/abs/2009.13013,/abs/2007.00814,/abs/2112.07708,/abs/1911.02896,/abs/2203.08928,/abs/2205.12665,/abs/2204.00266
