,query_article_link,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
0,/abs/2207.00003,/abs/2207.00003,/abs/2002.08930,/abs/2002.08675,/abs/2008.10030,/abs/2104.06476,/abs/2103.01134,/abs/2008.01389,/abs/2207.10856,/abs/2003.09391,/abs/1804.10834
1,/abs/2207.00005,/abs/2207.00005,/abs/1807.09536,/abs/2308.02346,/abs/2001.11152,/abs/2010.15277,/abs/1903.07864,/abs/2003.13191,/abs/2306.11967,/abs/2112.12385,/abs/2103.12532
2,/abs/2207.00008,/abs/2207.00008,/abs/1507.01206,/abs/2105.09461,/abs/1911.11976,/abs/2304.06335,/abs/2008.02567,/abs/2309.07154,/abs/2006.06201,/abs/2012.03426,/abs/2307.05275
3,/abs/1901.00001,/abs/1901.00001,/abs/1806.01896,/abs/1807.00911,/abs/2212.07911,/abs/2112.07918,/abs/2003.08736,/abs/1904.05022,/abs/1808.07209,/abs/1611.09326,/abs/2007.10035
4,/abs/1901.00003,/abs/1901.00003,/abs/1811.01292,/abs/1906.01618,/abs/2104.03851,/abs/1909.03140,/abs/1903.10764,/abs/1806.10556,/abs/1809.03330,/abs/2207.11232,/abs/1604.00449
5,/abs/1901.00004,/abs/1901.00004,/abs/2105.07704,/abs/1812.01566,/abs/1904.05906,/abs/1609.08138,/abs/1605.00635,/abs/1602.09134,/abs/1712.03898,/abs/2009.08582,/abs/1710.00809
6,/abs/1901.00035,/abs/1901.00035,/abs/2006.05900,/abs/2105.01420,/abs/1412.8690,/abs/2006.14798,/abs/2002.09766,/abs/2110.05518,/abs/2006.14076,/abs/1702.07966,/abs/2002.09773
7,/abs/1901.00039,/abs/1901.00039,/abs/1807.09959,/abs/1903.12206,/abs/1908.03684,/abs/2006.07755,/abs/1705.10118,/abs/2009.14411,/abs/1608.06197,/abs/2306.05129,/abs/2311.04509
8,/abs/2005.00033,/abs/2005.00033,/abs/2204.12164,/abs/2105.03143,/abs/2006.03354,/abs/2106.11702,/abs/2201.06496,/abs/2012.01462,/abs/2007.07996,/abs/2011.04088,/abs/2111.07819
9,/abs/2005.00036,/abs/2005.00036,/abs/1911.05889,/abs/1903.05759,/abs/1603.06155,/abs/2311.00953,/abs/1907.09527,/abs/2111.13833,/abs/2010.13982,/abs/2107.06963,/abs/1809.01331
10,/abs/2005.00038,/abs/2005.00038,/abs/2106.09983,/abs/2002.08909,/abs/2203.08928,/abs/2004.04906,/abs/2012.12624,/abs/2107.13602,/abs/2102.09206,/abs/2210.13678,/abs/2004.14255
11,/abs/2005.00042,/abs/2005.00042,/abs/1706.05985,/abs/2306.05524,/abs/1707.04596,/abs/2210.06023,/abs/1507.08396,/abs/2004.09800,/abs/1807.00938,/abs/0811.1319,/abs/2209.11755
12,/abs/2005.00043,/abs/2005.00043,/abs/2108.12773,/abs/1808.08081,/abs/1710.11442,/abs/2105.12911,/abs/2101.10484,/abs/2006.00165,/abs/2103.04226,/abs/2006.05304,/abs/1810.04866
13,/abs/2005.00044,/abs/2005.00044,/abs/1506.07566,/abs/1807.09313,/abs/1504.00229,/abs/1303.4816,/abs/1902.05746,/abs/1001.3720,/abs/1812.04122,/abs/2109.13142,/abs/1207.0140
14,/abs/2005.00048,/abs/2005.00048,/abs/2010.00363,/abs/1804.04087,/abs/1502.06922,/abs/1602.06291,/abs/1506.01057,/abs/1710.08246,/abs/1811.02611,/abs/1805.11653,/abs/1608.04207
15,/abs/2005.00050,/abs/2005.00050,/abs/2010.03481,/abs/2001.06629,/abs/2011.07247,/abs/2308.12131,/abs/1912.01072,/abs/2005.06602,/abs/2005.09946,/abs/2104.03776,/abs/1908.07448
16,/abs/2005.00051,/abs/2005.00051,/abs/2212.10402,/abs/2205.10077,/abs/1902.10832,/abs/2109.12549,/abs/2001.06311,/abs/2211.05552,/abs/2201.05995,/abs/2112.01630,/abs/2212.07287
17,/abs/2212.00004,/abs/2212.00004,/abs/2001.00575,/abs/1811.10399,/abs/2109.02385,/abs/1608.05054,/abs/2307.02211,/abs/2209.03570,/abs/1709.09875,/abs/1502.00756,/abs/1405.6627
18,/abs/2212.00006,/abs/2212.00006,/abs/2210.16405,/abs/2306.03100,/abs/1801.01973,/abs/2205.05256,/abs/1511.01844,/abs/2306.01200,/abs/2212.08167,/abs/2211.08473,/abs/2202.06935
19,/abs/2212.00009,/abs/2212.00009,/abs/2204.04164,/abs/2009.01561,/abs/2008.03110,/abs/2208.03235,/abs/2301.12829,/abs/2109.05835,/abs/1903.05084,/abs/2202.08314,/abs/2002.11675
20,/abs/2212.00013,/abs/2212.00013,/abs/2103.10686,/abs/2111.02283,/abs/2004.02274,/abs/2112.15187,/abs/2210.13906,/abs/2210.02381,/abs/2110.14941,/abs/2309.12487,/abs/2108.09801
21,/abs/2004.00006,/abs/2004.00006,/abs/1906.03799,/abs/2202.06300,/abs/2106.15280,/abs/2108.07903,/abs/2301.06184,/abs/2011.10687,/abs/2305.04374,/abs/2008.02396,/abs/1905.02722
22,/abs/2004.00010,/abs/2004.00010,/abs/2007.09374,/abs/1203.2570,/abs/1306.2691,/abs/2212.09657,/abs/2202.11393,/abs/1410.0265,/abs/2102.06387,/abs/2305.02816,/abs/2203.10323
23,/abs/2004.00033,/abs/2004.00033,/abs/2205.10517,/abs/1906.01569,/abs/2212.08390,/abs/1911.03894,/abs/2304.14796,/abs/2006.07698,/abs/1912.07076,/abs/1812.11760,/abs/2209.11035
