,query_article_link,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
0,/abs/2207.00003,/abs/2002.08930,/abs/2207.00003,/abs/2004.04398,/abs/1411.4491,/abs/2004.01735,/abs/2103.04717,/abs/2105.10340,/abs/1808.00736,/abs/1906.03950,/abs/1803.09208
1,/abs/2207.00005,/abs/2207.00005,/abs/2303.07811,/abs/1811.08051,/abs/2308.15236,/abs/2305.18806,/abs/2106.09701,/abs/2110.08421,/abs/2211.13131,/abs/2104.10093,/abs/2303.13898
2,/abs/2207.00008,/abs/2207.00008,/abs/2307.05275,/abs/1911.11976,/abs/2306.06452,/abs/2105.09461,/abs/1804.04976,/abs/1507.01206,/abs/1811.06672,/abs/2302.00224,/abs/2309.07154
3,/abs/1901.00001,/abs/1901.00001,/abs/1807.00911,/abs/2011.00674,/abs/2305.15608,/abs/2003.04671,/abs/2310.04081,/abs/2005.10091,/abs/2212.07911,/abs/2206.08605,/abs/1908.05005
4,/abs/1901.00003,/abs/1805.11025,/abs/2003.14034,/abs/1710.09363,/abs/2004.04546,/abs/2302.05743,/abs/2105.13277,/abs/1611.08097,/abs/1805.11204,/abs/2202.04755,/abs/1908.04396
5,/abs/1901.00004,/abs/2304.14397,/abs/1901.06730,/abs/quant-ph/0307076,/abs/1801.05768,/abs/2009.08582,/abs/1605.00635,/abs/1502.07994,/abs/1606.08828,/abs/1602.09134,/abs/2301.11730
6,/abs/1901.00035,/abs/1901.00035,/abs/2002.09766,/abs/1609.01000,/abs/2006.05103,/abs/2006.14076,/abs/2205.14056,/abs/2304.06959,/abs/2012.05169,/abs/1902.08722,/abs/2006.14798
7,/abs/1901.00039,/abs/1903.02025,/abs/1907.02198,/abs/1804.06958,/abs/1806.10040,/abs/1807.01989,/abs/2101.01479,/abs/2212.11542,/abs/2001.05643,/abs/2012.10189,/abs/1906.09707
8,/abs/2005.00033,/abs/2204.03506,/abs/2011.14146,/abs/2005.13691,/abs/2107.09768,/abs/2005.08820,/abs/2101.01688,/abs/2011.05773,/abs/2009.07255,/abs/2010.09113,/abs/2303.16759
9,/abs/2005.00036,/abs/2005.00036,/abs/1603.06155,/abs/2212.03699,/abs/2004.07672,/abs/2206.05399,/abs/2004.05816,/abs/1903.05759,/abs/2009.09680,/abs/2208.09601,/abs/2106.06169
10,/abs/2005.00038,/abs/2109.11085,/abs/2012.12624,/abs/2004.04906,/abs/2109.10346,/abs/2005.00038,/abs/2112.07381,/abs/2308.04028,/abs/2203.08928,/abs/2009.12756,/abs/2106.08433
11,/abs/2005.00042,/abs/2305.18977,/abs/2202.08965,/abs/1412.8147,/abs/cs/0110053,/abs/1406.1580,/abs/1009.4964,/abs/1009.4987,/abs/cmp-lg/9709007,/abs/1305.2831,/abs/1009.4574
12,/abs/2005.00043,/abs/2004.03178,/abs/2103.04226,/abs/2005.00043,/abs/1907.08849,/abs/1605.09641,/abs/2101.10198,/abs/2108.12773,/abs/1711.00838,/abs/2211.12196,/abs/1701.04525
13,/abs/2005.00044,/abs/2005.00044,/abs/2109.13142,/abs/1207.0140,/abs/1203.4836,/abs/2011.01024,/abs/2107.13987,/abs/2106.03840,/abs/1808.08896,/abs/2104.12425,/abs/2305.05074
14,/abs/2005.00048,/abs/2005.00048,/abs/1508.01745,/abs/1912.01110,/abs/1506.01057,/abs/1610.03098,/abs/1709.05074,/abs/1602.06291,/abs/2211.07712,/abs/1706.00139,/abs/1909.08187
15,/abs/2005.00050,/abs/2005.00050,/abs/2005.09946,/abs/2001.06629,/abs/2005.06602,/abs/2005.07979,/abs/2011.07247,/abs/2104.03776,/abs/1912.01072,/abs/2012.00004,/abs/2305.08654
16,/abs/2005.00051,/abs/2011.05896,/abs/2208.02330,/abs/2212.10402,/abs/2008.08174,/abs/1911.05413,/abs/2005.00051,/abs/1801.04882,/abs/2009.08816,/abs/1812.02936,/abs/2308.05952
17,/abs/2212.00004,/abs/1911.08739,/abs/2307.02211,/abs/2106.07448,/abs/2307.04604,/abs/1907.06286,/abs/1609.01409,/abs/1810.08707,/abs/1703.02103,/abs/1904.10351,/abs/1811.10399
18,/abs/2212.00006,/abs/2206.10668,/abs/2305.13971,/abs/2105.03495,/abs/2206.05395,/abs/2310.16343,/abs/2311.07430,/abs/2005.04560,/abs/2205.12558,/abs/2202.11705,/abs/2304.14293
19,/abs/2212.00009,/abs/2205.15918,/abs/1807.05355,/abs/1702.08826,/abs/1303.5743,/abs/1905.13072,/abs/2103.10694,/abs/1808.06818,/abs/1004.5339,/abs/2211.07367,/abs/2311.09469
20,/abs/2212.00013,/abs/2210.02381,/abs/2112.15187,/abs/2005.04539,/abs/2210.13906,/abs/2111.07171,/abs/2111.02283,/abs/2307.01312,/abs/2307.05891,/abs/2206.03567,/abs/2103.10686
21,/abs/2004.00006,/abs/2004.00006,/abs/1906.03799,/abs/2301.06184,/abs/2011.10687,/abs/2301.06143,/abs/2106.15280,/abs/2102.10244,/abs/1809.08134,/abs/2008.02396,/abs/2007.05981
22,/abs/2004.00010,/abs/2004.00010,/abs/2210.09269,/abs/1203.2570,/abs/1403.6135,/abs/2211.17230,/abs/2210.13028,/abs/0803.3946,/abs/0809.4794,/abs/2102.12467,/abs/1911.10167
23,/abs/2004.00033,/abs/2004.00033,/abs/2203.08111,/abs/2008.09396,/abs/2007.10021,/abs/2309.11259,/abs/2102.02585,/abs/1911.03894,/abs/2104.15114,/abs/1710.06931,/abs/2310.11628
24,/abs/2004.00034,/abs/2004.00034,/abs/2012.08849,/abs/2306.09690,/abs/1910.01586,/abs/2303.13535,/abs/1211.4500,/abs/2111.04461,/abs/2102.13407,/abs/1701.06412,/abs/2107.04566
25,/abs/2004.00048,/abs/2306.09961,/abs/1905.03389,/abs/2007.04725,/abs/1805.07917,/abs/1906.09807,/abs/2303.04150,/abs/1912.06310,/abs/2010.14616,/abs/1812.11314,/abs/2004.00048
26,/abs/2004.00049,/abs/2101.05278,/abs/2309.13956,/abs/2004.00049,/abs/2107.06050,/abs/2108.08998,/abs/2307.16151,/abs/2203.11105,/abs/2304.14403,/abs/2202.02183,/abs/2206.08357
27,/abs/2004.00050,/abs/2004.00050,/abs/2306.08999,/abs/2003.08385,/abs/2109.06050,/abs/2101.11978,/abs/2305.13047,/abs/1809.01574,/abs/1706.06894,/abs/1910.02076,/abs/1709.01895
28,/abs/2004.00053,/abs/2004.00053,/abs/2106.02818,/abs/1901.09769,/abs/2107.01614,/abs/2106.11384,/abs/1910.08109,/abs/2102.11673,/abs/2010.00906,/abs/2006.07267,/abs/2001.10648
29,/abs/2206.00007,/abs/2206.00007,/abs/1808.01552,/abs/2112.00988,/abs/1812.03337,/abs/2005.04828,/abs/2306.03937,/abs/2209.03137,/abs/2010.15561,/abs/2301.04829,/abs/2302.11774
30,/abs/2206.00026,/abs/2206.00026,/abs/2206.03635,/abs/cs/0602034,/abs/2204.01075,/abs/2307.12393,/abs/2302.07755,/abs/2006.16860,/abs/2012.11821,/abs/1703.07729,/abs/1706.07165
31,/abs/2206.00047,/abs/2206.00047,/abs/2301.07845,/abs/2102.05082,/abs/2205.13913,/abs/2103.10257,/abs/1901.11448,/abs/2002.05660,/abs/2205.07649,/abs/2211.14058,/abs/2108.13597
32,/abs/2206.00048,/abs/2103.04379,/abs/2206.00048,/abs/2108.02721,/abs/2007.10466,/abs/1812.08985,/abs/1806.00236,/abs/2104.00487,/abs/1907.05280,/abs/1803.01500,/abs/2112.05143
33,/abs/2204.00003,/abs/2309.03640,/abs/2204.00003,/abs/2310.17462,/abs/1410.3970,/abs/2007.11876,/abs/1809.04704,/abs/2304.14484,/abs/1811.06666,/abs/1612.00496,/abs/2207.09851
34,/abs/2204.00032,/abs/1811.03728,/abs/2010.12563,/abs/2212.10717,/abs/2003.12020,/abs/2305.14710,/abs/2106.08970,/abs/2007.02220,/abs/2210.17029,/abs/2006.06841,/abs/2112.05224
35,/abs/1902.00006,/abs/1910.13503,/abs/2303.00934,/abs/2007.07584,/abs/2104.13299,/abs/2012.02748,/abs/1802.00682,/abs/2112.03184,/abs/1702.08608,/abs/2201.08164,/abs/1906.10924
36,/abs/1902.00009,/abs/1502.05212,/abs/1809.03171,/abs/1708.02831,/abs/1904.09085,/abs/2301.00482,/abs/1905.00525,/abs/1904.10699,/abs/2207.11479,/abs/2004.03351,/abs/1404.1514
37,/abs/1902.00014,/abs/1902.00014,/abs/1604.04164,/abs/1811.05420,/abs/1804.07805,/abs/1911.07229,/abs/2303.04598,/abs/1305.5820,/abs/2305.09503,/abs/1902.09844,/abs/2208.07628
38,/abs/1902.00031,/abs/1902.00031,/abs/2009.12414,/abs/2208.10099,/abs/2201.04868,/abs/2212.13074,/abs/2005.07667,/abs/2310.17894,/abs/0909.1786,/abs/1804.00401,/abs/1308.3830
39,/abs/1902.00033,/abs/2006.12714,/abs/2207.04144,/abs/2104.04523,/abs/2105.10436,/abs/1801.07459,/abs/2105.12080,/abs/2203.02051,/abs/2305.08552,/abs/1704.07114,/abs/1807.09810
40,/abs/1902.00038,/abs/1902.00038,/abs/1708.01471,/abs/1705.06676,/abs/2204.00975,/abs/1909.11874,/abs/1702.06700,/abs/1805.09701,/abs/2205.11501,/abs/1907.09815,/abs/2310.18046
41,/abs/2006.00031,/abs/2006.00031,/abs/2206.11815,/abs/1906.03591,/abs/2305.08146,/abs/2107.05132,/abs/2209.08236,/abs/1504.00548,/abs/2307.15286,/abs/1801.08660,/abs/1412.6448
