,query_article_link,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
0,/abs/2207.00003,/abs/2207.00003,/abs/2002.08930,/abs/2306.03993,/abs/2206.02288,/abs/2308.15855,/abs/1803.09208,/abs/2109.01996,/abs/2103.04705,/abs/2303.04393,/abs/2106.12497
1,/abs/2207.00005,/abs/2207.00005,/abs/1807.09536,/abs/2003.13191,/abs/2303.13752,/abs/2001.11152,/abs/1907.07872,/abs/2002.12411,/abs/2308.02346,/abs/2305.05175,/abs/2306.17560
2,/abs/2207.00008,/abs/2207.00008,/abs/2006.06201,/abs/2105.09461,/abs/2307.05275,/abs/2205.05918,/abs/2003.08530,/abs/1507.01206,/abs/2301.03773,/abs/1911.11976,/abs/1706.08107
3,/abs/1901.00001,/abs/1901.00001,/abs/1806.01896,/abs/2201.06974,/abs/1911.10442,/abs/2108.12545,/abs/2212.07911,/abs/1807.06132,/abs/2103.09992,/abs/1903.03462,/abs/2301.00524
4,/abs/1901.00003,/abs/1901.00003,/abs/1811.01292,/abs/1607.06854,/abs/2002.00367,/abs/2207.11504,/abs/2003.05614,/abs/1809.03330,/abs/2105.02195,/abs/1611.06069,/abs/2010.04595
5,/abs/1901.00004,/abs/1901.00004,/abs/1904.05906,/abs/1805.04104,/abs/1609.08138,/abs/2105.07704,/abs/1605.00635,/abs/1712.07021,/abs/1711.05244,/abs/1602.09134,/abs/1709.01056
6,/abs/1901.00035,/abs/1901.00035,/abs/2002.09766,/abs/2006.14076,/abs/2010.11645,/abs/2311.04015,/abs/1412.8690,/abs/2012.13329,/abs/2006.05103,/abs/2009.07178,/abs/2006.05900
7,/abs/1901.00039,/abs/1901.00039,/abs/2003.12783,/abs/2012.15685,/abs/2009.06420,/abs/1707.01202,/abs/2310.01662,/abs/1912.05765,/abs/2007.03207,/abs/2303.12790,/abs/1907.12428
8,/abs/2005.00033,/abs/2005.00033,/abs/2107.12303,/abs/2010.06455,/abs/2006.03354,/abs/2104.12201,/abs/2304.04811,/abs/2111.07819,/abs/2311.08001,/abs/2003.10359,/abs/2306.13954
9,/abs/2005.00036,/abs/2005.00036,/abs/2311.00953,/abs/1606.01541,/abs/1903.05759,/abs/1811.05696,/abs/1805.03766,/abs/1904.08061,/abs/2212.14117,/abs/1911.05889,/abs/1809.01215
10,/abs/2005.00038,/abs/2005.00038,/abs/2012.12624,/abs/2308.00946,/abs/2107.07261,/abs/2010.01061,/abs/2103.07449,/abs/2101.02157,/abs/2106.08190,/abs/2205.10455,/abs/2107.13602
11,/abs/2005.00042,/abs/2005.00042,/abs/2204.03301,/abs/1707.04596,/abs/2308.07074,/abs/1911.04427,/abs/2210.15234,/abs/1309.0326,/abs/1412.4986,/abs/2006.11548,/abs/1810.01468
12,/abs/2005.00043,/abs/2005.00043,/abs/2006.03930,/abs/2010.08003,/abs/1710.11442,/abs/2211.12196,/abs/1403.1005,/abs/1202.6144,/abs/2105.12911,/abs/1810.04866,/abs/2301.05653
13,/abs/2005.00044,/abs/2005.00044,/abs/1207.0140,/abs/2104.12425,/abs/1001.3720,/abs/1807.09313,/abs/1709.02610,/abs/1902.00660,/abs/1904.08147,/abs/1506.07566,/abs/2311.05037
14,/abs/2005.00048,/abs/2005.00048,/abs/2010.00363,/abs/1402.1128,/abs/1804.04087,/abs/2008.01832,/abs/1611.00483,/abs/2002.07775,/abs/1503.00075,/abs/1810.04437,/abs/1811.06477
