,query_article_link,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
0,/abs/2207.00003,/abs/2207.00003,/abs/2002.08930,/abs/2106.12497,/abs/1803.09208,/abs/2208.07769,/abs/2304.07560,/abs/2110.12024,/abs/2210.00479,/abs/2107.04470,/abs/2105.07309
1,/abs/2207.00005,/abs/2303.13898,/abs/1902.02948,/abs/2207.00005,/abs/2306.17560,/abs/2303.13752,/abs/2211.13131,/abs/2107.08918,/abs/2304.01899,/abs/1907.07872,/abs/2212.02863
2,/abs/2207.00008,/abs/2207.00008,/abs/1507.01206,/abs/2307.05275,/abs/1904.09896,/abs/2105.09461,/abs/2006.06201,/abs/2003.08530,/abs/1911.11976,/abs/2301.03773,/abs/2208.10659
3,/abs/1901.00001,/abs/2105.09975,/abs/1901.00001,/abs/2305.15608,/abs/1904.03983,/abs/2002.06626,/abs/2005.13180,/abs/2307.05080,/abs/2212.07911,/abs/2211.15790,/abs/2101.08418
4,/abs/1901.00003,/abs/2004.04546,/abs/2102.07482,/abs/2310.08138,/abs/2109.09506,/abs/1511.05298,/abs/1901.08518,/abs/2010.06117,/abs/1803.01254,/abs/2110.05158,/abs/2110.08266
5,/abs/1901.00004,/abs/1805.04104,/abs/2211.05717,/abs/2304.00047,/abs/1204.2610,/abs/1901.00004,/abs/2306.10308,/abs/1709.01056,/abs/1711.05244,/abs/1904.05906,/abs/2301.01189
6,/abs/1901.00035,/abs/1901.00035,/abs/2002.09766,/abs/2311.04015,/abs/2006.14798,/abs/1609.01000,/abs/2106.09117,/abs/2006.05103,/abs/2010.11645,/abs/2308.01677,/abs/2307.10980
7,/abs/1901.00039,/abs/2102.03456,/abs/2310.18928,/abs/2102.05402,/abs/2011.04208,/abs/2011.02371,/abs/2110.00523,/abs/2101.00784,/abs/2112.07879,/abs/2210.04816,/abs/2203.07341
8,/abs/2005.00033,/abs/2011.08787,/abs/2007.07996,/abs/2009.07255,/abs/2006.06446,/abs/2005.08820,/abs/2012.11004,/abs/2106.13385,/abs/2104.10807,/abs/2009.01267,/abs/2005.13691
9,/abs/2005.00036,/abs/2005.00036,/abs/2212.09726,/abs/2112.08713,/abs/2311.08195,/abs/2301.04871,/abs/2112.05843,/abs/1903.05759,/abs/2205.02035,/abs/2107.07771,/abs/2112.08542
10,/abs/2005.00038,/abs/2012.12624,/abs/2109.11085,/abs/2006.08337,/abs/2010.08422,/abs/2110.07731,/abs/1704.00051,/abs/2005.00038,/abs/2209.10063,/abs/2105.02274,/abs/1906.05807
11,/abs/2005.00042,/abs/2005.00042,/abs/1707.04596,/abs/1401.5741,/abs/1909.01187,/abs/2204.03301,/abs/cmp-lg/9407026,/abs/2305.18977,/abs/2006.11548,/abs/cmp-lg/9406010,/abs/2302.03341
12,/abs/2005.00043,/abs/1202.6144,/abs/2005.00043,/abs/1602.06604,/abs/2211.12196,/abs/1801.00903,/abs/2010.08003,/abs/1202.6049,/abs/2006.03930,/abs/2105.13347,/abs/1905.06124
13,/abs/2005.00044,/abs/2005.00044,/abs/2104.12425,/abs/1312.1889,/abs/2309.09479,/abs/2308.16862,/abs/2304.04631,/abs/1904.08147,/abs/1910.00409,/abs/2205.11327,/abs/1106.0917
14,/abs/2005.00048,/abs/1611.00483,/abs/1506.01057,/abs/1604.05358,/abs/2005.00048,/abs/1506.04395,/abs/1706.08032,/abs/2210.04107,/abs/2010.00363,/abs/1810.08076,/abs/1706.00139
15,/abs/2005.00050,/abs/2005.00050,/abs/2005.06602,/abs/2005.07979,/abs/2012.00004,/abs/2010.00857,/abs/2308.12131,/abs/2010.09072,/abs/2005.09946,/abs/2305.08654,/abs/2109.01935
16,/abs/2005.00051,/abs/2011.05896,/abs/2208.02330,/abs/2005.09352,/abs/2212.10402,/abs/1606.01799,/abs/2005.00051,/abs/2009.08816,/abs/2212.09303,/abs/1801.04882,/abs/2001.02839
17,/abs/2212.00004,/abs/1911.08739,/abs/1609.01409,/abs/2005.14517,/abs/2206.09432,/abs/1811.10399,/abs/1904.10351,/abs/2308.00801,/abs/2305.03019,/abs/2303.07451,/abs/2302.14682
